vid,name,country
6570,Álex Granell,Spain
6571,Roberto Jiménez,Spain
6572,Juanpe,Spain
6573,Bernardo Espinosa,Colombia
6574,Douglas Luiz,Brazil
6575,Emanuel Cecchini,Argentina
6576,Gorka Iraizoz,Spain
6578,Aday Benítez,Spain
6579,Pedro Alcalá,Spain
6580,Recio,Spain
6581,Jony,Spain
6582,Portu,Spain
6583,Carlos Soler,Spain
6584,Simone Zaza,Italy
6585,Jeison Murillo,Colombia
6586,Nacho Gil,Spain
6587,Toni Lato,Spain
6589,Geoffrey Kondogbia,Central African Republic
6590,Neto,Brazil
6591,Nacho Vidal,Spain
6592,Rúben Vezo,Portugal
6593,Martín Montoya,Spain
6594,Santi Mina,Spain
6595,Dani Parejo,Spain
6596,José Gayá,Spain
6597,Gabriel,Brazil
6598,Unai Bustinza,Spain
6599,Rubén Pérez,Spain
6600,Claudio Beauvue,Guadeloupe
6601,Raúl García,Spain
6602,Miguel Ángel Guerrero,Spain
6603,Dimitrios Siovas,Greece
6604,Darko Brašanac,Serbia
6605,Joseba Zaldúa,Spain
6606,Javi Eraso,Spain
6607,Omar Ramos,Spain
6608,Nabil El Zhar,Morocco
6609,Denis Suárez,Spain
6610,Pichu,Spain
6611,Ángel Rodríguez,Spain
6612,Rubén Duarte,Spain
6613,Rubén Sobrino,Spain
6614,Alexis Ruano,Spain
6615,Víctor Laguardia,Spain
6616,Munir El Haddadi,Morocco
6617,Ibai Gómez,Spain
6618,Martín Aguirregabiria,Spain
6619,Vitorino Antunes,Portugal
6620,Dani Pacheco,Spain
6621,Amath Ndiaye,Senegal
6622,Tomás Pina,Spain
6623,Loïc Rémy,France
6624,Burgui,Spain
6625,Vicente Guaita,Spain
6626,Mubarak Wakaso,Ghana
6627,Damián Suárez,Uruguay
6628,Óscar Romero,Paraguay
6629,Fernando Pacheco,Spain
6630,Jorge Molina,Spain
6631,Mathieu Flamini,France
6632,Manu García,Spain
6633,Markel Bergara,Spain
6634,Djene Dakonam,Togo
6635,Leandro Cabrera,Uruguay
6636,Rodrigo Ely,Brazil
6646,Riza Durmisi,Denmark
6647,Zouhair Feddal,Morocco
6648,Aïssa Mandi,Algeria
6649,De Marcos,Spain
6651,Joaquín,Spain
6652,Jordi Amat,Spain
6654,Antonio Adán,Spain
6655,Fabián Ruiz,Spain
6656,Mikel Rico,Spain
6657,Sergio León,Spain
6658,Cristian Tello,Spain
6659,Víctor Camarasa,Spain
6660,Enric Saborit,Spain
6661,Ryad Boudebouz,Algeria
6662,Iago Herrerín,Spain
6663,Antonio Barragán,Spain
6665,Íñigo Martínez,Spain
6666,Sabin Merino,Spain
6667,Mikel Vesga,Spain
6668,José Luis Morales,Spain
6669,David Zurutuza,Spain
6670,Andoni Gorosabel,Spain
6671,Asier Illarramendi,Spain
6672,Coke,Spain
6673,Sergio Canales,Spain
6674,Alberto de la Bella,Spain
6675,Antonio Luna,Spain
6676,Igor Zubeldía,Spain
6677,Imanol Agirretxe,Spain
6678,Emmanuel Boateng,Ghana
6679,Aritz Elustondo,Spain
6680,Rubén Rochina,Spain
6681,Chema,Spain
6682,Sergio Postigo,Spain
6683,Cheick Doukouré,Côte d'Ivoire
6684,Roger Martí,Spain
6685,Mikel Oyarzabal,Spain
6687,Saša Lukić,Serbia
6688,José Campaña,Spain
6689,Álvaro Odriozola,Spain
6690,Xabi Prieto,Spain
6691,Jason,Spain
6692,Oier Olazábal,Spain
6693,Raúl Navas,Spain
6694,Gero Rulli,Argentina
6695,Juanmi,Spain
6697,Dani Ceballos,Spain
6698,Marko Dmitrović,Serbia
6699,Ander Capa,Spain
6700,Sergi Enrich,Spain
6701,Joan Jordán,Spain
6702,David Lombán,Spain
6703,Christian Rivera,Spain
6704,Theo Hernández,France
6705,Cote,Spain
6706,Kiko Casilla,Spain
6707,Charles,Brazil
6708,Paulo Oliveira,Portugal
6709,Anaitz Arbilla,Spain
6710,Rubén Peña,Spain
6711,Kike,Spain
6712,Gonzalo Escalante,Argentina
6713,Diego Llorente,Spain
6714,Ganso,Brazil
6715,Guido Pizarro,Argentina
6716,Sébastien Corchia,France
6717,Johannes Geis,Germany
6718,Sergio Escudero,Spain
6719,Franco Vázquez,Argentina
6720,Pablo Sarabia,Spain
6721,Willian José,Brazil
6722,David Soria,Spain
6723,Wissam Ben Yedder,France
6724,Nolito,Spain
6725,Zakaria Bakkali,Belgium
6726,Enzo Zidane,France
6727,Raúl Albentosa,Spain
6728,Fede Cartabia,Argentina
6729,Guilherme,Brazil
6730,Rubén Martínez,Spain
6731,Florin Andone,Romania
6732,Lucas Pérez,Spain
6733,Pedro Mosquera,Spain
6734,Luisinho,Portugal
6735,Adrián López,Spain
6736,Álvaro Medrán,Spain
6737,Alfonso Pedraza,Spain
6738,Juanfran,Spain
6739,Diego Rolán,Uruguay
6740,Chory Castro,Uruguay
6741,Ignasi Miquel,Spain
6742,Keko,Spain
6743,Manuel Iturra,Chile
6744,Luciano Vietto,Argentina
6745,Mehdi Lacen,Algeria
6746,Gabriel Paulista,Brazil
6748,Ferrán Torres,Spain
6749,Diego González,Spain
6751,Javi Fuego,Spain
6752,Víctor Ruíz,Spain
6753,Dani Raba,Spain
6754,David López,Spain
6755,Sergio Asenjo,Spain
6756,Marc Navarro,Spain
6757,Aarón Martín,Spain
6758,Víctor Sánchez,Spain
6759,Roberto Soriano,Italy
6760,Enes Ünal,Turkey
6761,Léo Baptistão,Brazil
6762,Álvaro González,Spain
6763,Pablo Piatti,Argentina
6764,Pablo Fornals,Spain
6765,Rodri,Spain
6766,Gerard Moreno,Spain
6767,Sergio García,Spain
6768,Diego López,Spain
6769,Naldo,Brazil
6770,Esteban Granero,Spain
6771,Manu Trigueros,Spain
6772,Mario Gaspar,Spain
6773,Federico Valverde,Uruguay
6774,Borja Valle,Spain
6775,Dani García,Spain
6776,David Juncà,Spain
6777,Sidnei,Brazil
6778,Iván Ramis,Spain
