,goals,assists,saves,yellow_cards,red_cards,minutes_played,matches,goals_p90,assists_p90,saves_p90,cards_p90,cluster,name,country
167,1,0,0,4,0,703.0,13,0.12802275960170698,0.0,0.0,0.5120910384068279,0,Bernardo Espinosa,Colombia
168,0,0,0,2,0,1980.0,44,0.0,0.0,0.0,0.09090909090909091,0,Gorka Iraizoz,Spain
169,0,1,0,1,0,158.0,2,0.0,0.569620253164557,0.0,0.569620253164557,0,Aday Benítez,Spain
170,0,1,0,11,0,1470.0,23,0.0,0.061224489795918366,0.0,0.673469387755102,0,Recio,Spain
171,4,5,0,4,0,2479.0,29,0.14521984671238403,0.18152480839048002,0.0,0.14521984671238403,0,Jony,Spain
172,0,1,0,1,0,406.0,4,0.0,0.22167487684729065,0.0,0.22167487684729065,0,Portu,Spain
173,1,1,0,1,0,213.0,3,0.4225352112676056,0.4225352112676056,0.0,0.4225352112676056,0,Carlos Soler,Spain
174,0,0,0,1,0,251.0,2,0.0,0.0,0.0,0.35856573705179284,0,Jeison Murillo,Colombia
175,0,0,0,1,0,153.0,2,0.0,0.0,0.0,0.5882352941176471,0,Toni Lato,Spain
176,0,0,0,1,0,492.0,12,0.0,0.0,0.0,0.1829268292682927,0,Rúben Vezo,Portugal
177,0,4,0,3,0,1536.0,30,0.0,0.234375,0.0,0.17578125,0,Martín Montoya,Spain
178,3,0,0,2,0,1419.0,16,0.19027484143763215,0.0,0.0,0.12684989429175475,0,Santi Mina,Spain
179,10,4,0,8,0,2608.0,33,0.3450920245398773,0.13803680981595093,0.0,0.27607361963190186,0,Dani Parejo,Spain
180,0,1,0,5,0,999.0,20,0.0,0.09009009009009009,0.0,0.45045045045045046,0,José Gayá,Spain
181,0,0,0,2,0,90.0,2,0.0,0.0,0.0,2.0,0,Unai Bustinza,Spain
182,1,2,0,13,0,1786.0,20,0.05039193729003359,0.10078387458006718,0.0,0.6550951847704367,0,Rubén Pérez,Spain
183,1,0,0,1,0,408.0,7,0.22058823529411764,0.0,0.0,0.22058823529411764,0,Claudio Beauvue,Guadeloupe
184,1,1,0,1,0,1394.0,13,0.06456241032998565,0.06456241032998565,0.0,0.06456241032998565,0,Miguel Ángel Guerrero,Spain
185,0,0,0,1,0,213.0,3,0.0,0.0,0.0,0.4225352112676056,0,Dimitrios Siovas,Greece
186,0,0,0,1,0,544.0,9,0.0,0.0,0.0,0.16544117647058823,0,Joseba Zaldúa,Spain
187,1,0,0,2,0,872.0,10,0.10321100917431193,0.0,0.0,0.20642201834862386,0,Javi Eraso,Spain
188,2,1,0,3,0,1473.0,19,0.12219959266802444,0.06109979633401222,0.0,0.18329938900203666,0,Nabil El Zhar,Morocco
189,0,4,0,1,0,2155.0,26,0.0,0.16705336426914152,0.0,0.04176334106728538,0,Denis Suárez,Spain
